start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,max_cadence,avg_cadence,max_power,total_work,normalized_power,sub_sport,avg_temperature
2024-04-23 10:36:40,2024-04-23 11:09:42,running,1982.23,1982.22,6015.86,19.0,21.0,401,2552.0,81.0,77.0,1180.0,187,120.0,173.0,3.802,3.802,3.04,3.04,223.0,0.0,0.0,0.0,0.0,3.058000087738037,460063636637908992.fit,,,,,,,
2024-04-27 17:01:03,2024-04-27 17:56:40,running,3337.51,3337.5,10011.53,24.0,41.0,636,4383.0,96.0,78.0,1140.0,181,105.0,166.0,3.922,3.922,3.003,3.003,219.0,0.0,0.0,0.0,0.0,3.01200008392334,460162964735950859.fit,,,,,,,
2024-05-01 09:21:55,2024-05-01 12:02:50,cycling,9654.67,9654.67,58402.0,179.0,173.0,1295,,,,,157,92.0,,12.594,12.594,6.05,6.05,0.0,,,,,,460250055937392640.fit,0.0,0.0,0.0,0.0,0.0,,
2024-05-08 18:14:06,2024-05-08 18:32:58,running,1131.97,1131.97,3011.76,4.0,5.0,179,1463.0,88.0,79.0,1030.0,164,96.0,147.0,3.509,3.509,2.66,2.66,196.0,0.0,0.0,0.0,0.0,2.6730000972747803,460419385023037440.fit,,,,,,,
2024-05-11 12:38:47,2024-05-11 12:59:38,cycling,1250.59,1250.59,9020.32,23.0,21.0,187,,,,,165,84.0,,11.253,11.253,7.214,7.214,0.0,,,,,,460482901681668097.fit,0.0,0.0,0.0,0.0,0.0,road,
2024-05-13 17:07:05,2024-05-13 17:58:44,running,3099.43,3099.37,8040.57,12.0,10.0,521,4090.0,94.0,79.0,980.0,171,111.0,150.0,3.46,3.46,2.597,2.597,192.0,0.0,0.0,0.0,0.0,2.6040000915527344,460534089103998976.fit,,,,,,,
2024-05-14 16:12:05,2024-05-14 16:50:27,running,2301.89,2301.83,6510.1,10.0,12.0,539,3022.0,94.0,79.0,1080.0,187,96.0,164.0,4.484,4.484,2.825,2.825,210.0,0.0,0.0,0.0,0.0,2.8399999141693115,460556194224832515.fit,,,,,,,
2024-05-18 13:24:44,2024-05-18 14:36:50,running,4326.55,4326.54,11808.34,54.0,47.0,977,5726.0,118.0,79.0,1030.0,186,83.0,156.0,5.319,5.319,2.732,2.732,204.0,0.0,0.0,0.0,0.0,2.7699999809265137,460646903399350272.fit,,,,,,,
2024-05-27 06:47:07,2024-05-27 07:24:52,running,2265.24,2265.19,6431.98,23.0,24.0,505,3076.0,89.0,81.0,1050.0,177,84.0,152.0,3.831,3.831,2.841,2.841,210.0,0.0,0.0,0.0,0.0,2.8570001125335693,460848656264757250.fit,,,,,,,
2024-06-04 18:17:50,2024-06-04 19:05:00,running,2829.94,2829.94,7032.38,25.0,22.0,588,3622.0,87.0,77.0,960.0,172,86.0,146.0,3.106,3.106,2.488,2.488,185.0,0.0,0.0,0.0,0.0,2.5,461045526830284801.fit,,,,,,,
