start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,sub_sport,max_cadence,avg_cadence,max_power,total_work,normalized_power,avg_temperature
2024-04-24 16:51:25+00:00,2024-04-24 17:21:23+00:00,running,1797.87,1796.85,4481.37,0.0,2.0,276,2145.0,139.0,72.0,1040.0,178,91,144.0,7.634,7.634,2.494,2.494,187.0,0.0,0.0,0.0,0.0,2.5,460092897983758336.fit,,,,,,,
2024-04-24 17:59:27+00:00,2024-04-24 18:14:04+00:00,training,876.95,843.04,0.0,,,57,,,,,124,89,103.0,,,,,,,,,,,460093667596599296.fit,strength_training,,,,,,
2024-04-28 17:32:53+00:00,2024-04-28 18:19:33+00:00,training,2799.96,2739.01,0.0,,,263,,,,,138,54,92.0,,,,,,,,,,,460186559675662336.fit,strength_training,,,,,,
2024-04-29 16:53:24+00:00,2024-04-29 17:38:41+00:00,running,2717.12,2644.88,7685.12,14.0,14.0,477,3452.0,85.0,78.0,1110.0,183,82,157.0,4.082,4.082,2.907,2.907,221.0,0.0,0.0,0.0,0.0,2.9230000972747803,460209063964213248.fit,,,,,,,
2024-04-30 16:53:58+00:00,2024-04-30 17:40:28+00:00,running,2790.07,2780.95,7053.37,171.0,185.0,522,3315.0,142.0,77.0,1060.0,185,100,161.0,4.95,4.95,2.538,2.538,201.0,0.0,0.0,0.0,0.0,2.8489999771118164,460232280139399168.fit,trail,,,,,,
2024-05-02 16:54:47+00:00,2024-05-02 18:06:40+00:00,training,4313.07,4163.16,0.0,,,360,,,,,121,64,84.0,,,,,,,,,,,460279087768829952.fit,strength_training,,,,,,
2024-05-03 16:58:17+00:00,2024-05-03 17:53:29+00:00,running,3312.47,3308.02,9510.75,18.0,20.0,657,4317.0,114.0,79.0,1100.0,189,80,168.0,5.78,5.78,2.874,2.874,221.0,0.0,0.0,0.0,0.0,2.890000104904175,460302074970669056.fit,,,,,,,
2024-05-05 09:49:37+00:00,2024-05-05 11:08:34+00:00,running,4736.35,4733.58,12554.47,9.0,8.0,831,6337.0,97.0,80.0,990.0,174,95,154.0,3.663,3.663,2.653,2.653,200.0,0.0,0.0,0.0,0.0,2.6589999198913574,460341936291610624.fit,,,,,,,
2024-05-08 16:08:43+00:00,2024-05-08 17:41:38+00:00,cycling,5575.0,3682.89,16599.72,61.0,71.0,331,,,,,132,71,,9.664,9.664,4.508,4.508,0.0,,,,,,460419384754601984.fit,,0.0,0.0,0.0,0.0,0.0,
2024-05-08 18:36:47+00:00,2024-05-08 19:12:13+00:00,cycling,2126.15,2070.75,8645.61,37.0,42.0,182,,,,,130,80,,9.022,9.022,4.175,4.175,0.0,,,,,,460419385020940288.fit,,0.0,0.0,0.0,0.0,0.0,
2024-05-09 09:46:59+00:00,2024-05-09 14:22:40+00:00,hiking,16540.67,9036.86,5655.59,256.0,278.0,765,,,,630.0,144,67,102.0,4.561,4.561,0.625,0.625,0.0,0.0,0.0,0.0,0.0,,460437832712880129.fit,,107.0,55.0,,,,
2024-05-10 17:45:04+00:00,2024-05-10 18:14:53+00:00,training,1789.1,1398.85,0.0,,,99,,,,,103,66,85.0,,,,,,,,,,,460464761084084224.fit,strength_training,,,,,,
2024-05-11 17:11:37+00:00,2024-05-11 18:54:36+00:00,cycling,6179.6,1833.53,14004.44,34.0,35.0,228,,,,,161,74,,14.217,14.217,7.639,7.639,0.0,,,,,,460488713042952192.fit,road,0.0,0.0,0.0,0.0,0.0,
2024-05-12 08:03:42+00:00,2024-05-12 12:47:58+00:00,cycling,17055.85,12543.18,71157.55,220.0,214.0,1409,,,,,161,84,,13.447,13.447,5.672,5.672,0.0,,,,,,460505955726032896.fit,road,0.0,0.0,0.0,0.0,0.0,
2024-05-15 18:47:10+00:00,2024-05-15 19:47:56+00:00,running,3646.25,3592.93,10384.44,9.0,13.0,859,4713.0,85.0,79.0,1100.0,183,74,162.0,4.739,4.739,2.89,2.89,214.0,0.0,0.0,0.0,0.0,2.8980000019073486,460582347891310592.fit,,,,,,,
2024-05-17 17:49:21+00:00,2024-05-17 18:46:15+00:00,running,3414.02,3410.85,8728.25,25.0,27.0,713,4487.0,124.0,78.0,970.0,171,119,145.0,5.319,5.319,2.558,2.558,189.0,0.0,0.0,0.0,0.0,2.5769999027252197,460627623289061376.fit,,,,,,,
