file_name,status,error
460092897983758336.fit,ok,
460093667596599296.fit,ok,
460186559675662336.fit,ok,
460209063964213248.fit,ok,
460232280139399168.fit,ok,
460279087768829952.fit,ok,
460302074970669056.fit,ok,
460341936291610624.fit,ok,
460419384754601984.fit,ok,
460419385020940288.fit,ok,
460437832712880129.fit,ok,
460464761084084224.fit,ok,
460488713042952192.fit,ok,
460505955726032896.fit,ok,
460582347891310592.fit,ok,
460627623289061376.fit,ok,
460643738813759488.fit,ok,
460743692364316679.fit,ok,
460767214289584131.fit,ok,
460836099927867398.fit,ok,
460883107539615751.fit,ok,
460952683862327296.fit,ok,
460999049644900355.fit,ok,
461136624695148546.fit,ok,
461276516077043717.fit,ok,
461392591861088257.fit,ok,
461555811089416193.fit,ok,
461648819677855744.fit,ok,
461810613245476865.fit,ok,
461900789302984709.fit,ok,
461928122743291906.fit,ok,
461928122745389057.fit,ok,
461963914050043914.fit,ok,
462088661373059082.fit,ok,
462109546725277699.fit,ok,
462291002384744451.fit,ok,
462321082991411200.fit,ok,
462414616106926084.fit,ok,
462610562447081474.fit,ok,
462708092832874501.fit,ok,
462945384942043137.fit,ok,
463293751886905347.fit,ok,
463711797696823300.fit,ok,
463755317258256389.fit,ok,
463909165134282753.fit,ok,
463911325771268098.fit,ok,
464052492756353029.fit,ok,
464911706603159554.fit,ok,
466163778698903560.fit,ok,
466262349003653120.fit,ok,
466326164166705159.fit,ok,
466349366651682836.fit,ok,
466372815562506246.fit,ok,
466442394569572357.fit,ok,
466535239685013512.fit,ok,
466580686610923521.fit,ok,
467230053185388547.fit,ok,
468512200783331328.fit,ok,
468559129741393938.fit,ok,
468652272549658635.fit,ok,
468813380801560576.fit,ok,
468997109568274443.fit,ok,
469084910244626443.fit,ok,
469087543864885253.fit,ok,
469089997633388564.fit,ok,
469185239606919175.fit,ok,
469300324327260184.fit,ok,
469440838477316103.fit,ok,
469741432503042056.fit,ok,
469812547229351945.fit,ok,
469812547229351947.fit,ok,
469918110544068616.fit,ok,
470570428568469606.fit,ok,
470624625953374215.fit,ok,
471018655379915053.fit,ok,
471111041200193539.fit,ok,
471218456721653762.fit,ok,
471359451371176238.fit,ok,
471381297990762599.fit,ok,
471434278291406949.fit,ok,
471480702861344873.fit,ok,
471543189541519768.fit,ok,
471590635239932307.fit,ok,
471637266236735890.fit,ok,
471799052279775235.fit,ok,
471910794443915564.fit,ok,
471956857968164869.fit,ok,
472006681205702759.fit,ok,
472350940819652811.fit,ok,
472610501524750535.fit,ok,
472745804006719492.fit,ok,
472886347678384331.fit,ok,
472936476395470848.fit,ok,
473025369595740467.fit,ok,
473075689438871757.fit,ok,
473238071945494729.fit,ok,
473399999728746700.fit,ok,
473490877478633572.fit,ok,
473490877478633573.fit,ok,
473910520747950383.fit,ok,
