file_name,status,err,start_time_old,timestamp_old,start_time_fix,timestamp_fix
460092897983758336.fit,ok,,,,2024-04-24 16:51:25+00:00,2024-04-24 17:21:23+00:00
460093667596599296.fit,ok,,,,2024-04-24 17:59:27+00:00,2024-04-24 18:14:04+00:00
460186559675662336.fit,ok,,,,2024-04-28 17:32:53+00:00,2024-04-28 18:19:33+00:00
460209063964213248.fit,ok,,,,2024-04-29 16:53:24+00:00,2024-04-29 17:38:41+00:00
460232280139399168.fit,ok,,,,2024-04-30 16:53:58+00:00,2024-04-30 17:40:24+00:00
460279087768829952.fit,ok,,,,2024-05-02 16:54:47+00:00,2024-05-02 18:06:40+00:00
460302074970669056.fit,ok,,,,2024-05-03 16:58:17+00:00,2024-05-03 17:53:29+00:00
460341936291610624.fit,ok,,,,2024-05-05 09:49:37+00:00,2024-05-05 11:08:34+00:00
460419384754601984.fit,ok,,,,2024-05-08 16:08:43+00:00,2024-05-08 17:41:38+00:00
460419385020940288.fit,ok,,,,2024-05-08 18:36:47+00:00,2024-05-08 19:12:13+00:00
460437832712880129.fit,ok,,,,2024-05-09 09:46:59+00:00,2024-05-09 14:22:41+00:00
460464761084084224.fit,ok,,,,2024-05-10 17:45:04+00:00,2024-05-10 18:14:53+00:00
460488713042952192.fit,ok,,,,2024-05-11 17:11:37+00:00,2024-05-11 18:54:36+00:00
460505955726032896.fit,ok,,,,2024-05-12 08:03:42+00:00,2024-05-12 12:47:58+00:00
460582347891310592.fit,ok,,,,2024-05-15 18:47:10+00:00,2024-05-15 19:47:57+00:00
460627623289061376.fit,ok,,,,2024-05-17 17:49:21+00:00,2024-05-17 18:46:15+00:00
460643738813759488.fit,ok,,,,2024-05-18 10:42:57+00:00,2024-05-18 11:06:26+00:00
460743692364316679.fit,ok,,,,2024-05-22 17:58:43+00:00,2024-05-22 18:47:20+00:00
460767214289584131.fit,ok,,,,2024-05-23 18:14:37+00:00,2024-05-23 19:08:10+00:00
460836099927867398.fit,ok,,,,2024-05-26 17:40:17+00:00,2024-05-26 17:51:55+00:00
460883107539615751.fit,ok,,,,2024-05-28 17:41:21+00:00,2024-05-28 18:57:17+00:00
460952683862327296.fit,ok,,,,2024-05-31 18:03:15+00:00,2024-05-31 19:04:44+00:00
460999049644900355.fit,ok,,,,2024-06-02 17:42:10+00:00,2024-06-02 19:01:35+00:00
461136624695148546.fit,ok,,,,2024-06-08 14:53:28+00:00,2024-06-08 16:40:09+00:00
461276516077043717.fit,ok,,,,2024-06-14 16:30:46+00:00,2024-06-14 18:13:50+00:00
461392591861088257.fit,ok,,,,2024-06-19 18:05:30+00:00,2024-06-19 18:20:11+00:00
