file_name,start_time,timestamp,sport,sub_sport,distance_km,duration_min,pace_min_km,total_ascent,total_descent,avg_heart_rate,max_heart_rate,min_heart_rate,avg_running_cadence,max_running_cadence,enhanced_avg_speed,enhanced_max_speed,avg_temperature,total_calories,total_strides
460063636637908992.fit,2024-04-23 10:36:40,2024-04-23 11:09:42,running,nan,6.01586,33.037,5.4916504040984995,19.0,21.0,173.0,187,120.0,77.0,81.0,3.04,3.802,,401,2552.0
460092897983758336.fit,2024-04-24 16:51:25,2024-04-24 17:21:23,running,nan,4.48137,29.947499999999998,6.682666238226256,0.0,2.0,144.0,178,91.0,72.0,139.0,2.494,7.634,,276,2145.0
460162964735950859.fit,2024-04-27 17:01:03,2024-04-27 17:56:40,running,nan,10.01153,55.625,5.556093823821134,24.0,41.0,166.0,181,105.0,78.0,96.0,3.003,3.922,,636,4383.0
460209063964213248.fit,2024-04-29 16:53:24,2024-04-29 17:38:41,running,nan,7.6851199999999995,44.08133333333333,5.735932989118366,14.0,14.0,157.0,183,82.0,78.0,85.0,2.907,4.082,,477,3452.0
460232280139399168.fit,2024-04-30 16:53:58,2024-04-30 17:40:24,running,trail,7.05337,46.34916666666666,6.5712087508051695,171.0,185.0,161.0,185,100.0,77.0,142.0,2.538,4.95,,522,3315.0
460302074970669056.fit,2024-05-03 16:58:17,2024-05-03 17:53:29,running,nan,9.51075,55.13366666666666,5.796984114466962,18.0,20.0,168.0,189,80.0,79.0,114.0,2.874,5.78,,657,4317.0
460341936291610624.fit,2024-05-05 09:49:37,2024-05-05 11:08:34,running,nan,12.554469999999998,78.893,6.284056594981709,9.0,8.0,154.0,174,95.0,80.0,97.0,2.653,3.663,,831,6337.0
460419385023037440.fit,2024-05-08 18:14:06,2024-05-08 18:32:58,running,nan,3.01176,18.86616666666667,6.264166688802118,4.0,5.0,147.0,164,96.0,79.0,88.0,2.66,3.509,,179,1463.0
460534089103998976.fit,2024-05-13 17:07:05,2024-05-13 17:58:44,running,nan,8.040569999999999,51.656166666666664,6.424440887482687,12.0,10.0,150.0,171,111.0,79.0,94.0,2.597,3.46,,521,4090.0
460556194224832515.fit,2024-05-14 16:12:05,2024-05-14 16:50:27,running,nan,6.5101,38.36383333333333,5.892971434130556,10.0,12.0,164.0,187,96.0,79.0,94.0,2.825,4.484,,539,3022.0
