Web OFF. One-shot evaluation.
Ignore all previous conversation history. Use ONLY the data below.

Task: Predict marathon finish time for the race on 2025-10-05 (Run In Lyon Marathon).
You must respect the anti-leak rule: you can only use training data with date <= 2025-10-04. Any info after 2025-10-05 is forbidden.

Return STRICT JSON only (no extra text, no markdown):
{"time_p10_min": number, "time_p50_min": number, "time_p90_min": number, "justification": "max 2 sentences, no line breaks"}
Rules:
- Ensure time_p10_min < time_p50_min < time_p90_min.
- Times must be plausible marathon finish times in minutes.
- justification: 2 sentences max, no quotes (") inside.

ATHLETE_PROFILE: Age=24; WeightKg=73; Sex=unknown

TRAINING_SNAPSHOT_SUMMARY (16 weeks ending 2025-10-04):
- n_runs_16w: 35
- total_km_16w: 417.85753
- total_duration_h_16w: 40.663069444444446
- max_week_km: 53.12498
- max_long_run_km: 25.00972
- pace_16w_wavg_min_km: 5.838794305481744
- avg_hr_16w_wavg: 153.86178476852973

WEEKLY_TABLE_CSV:
week_end,km,duration_min,sessions,elev_gain_m,long_run_km,pace_wavg_min_km,avg_hr_wavg
2025-06-15,0.0,0.0,0,0.0,,,
2025-06-22,29.157,171.8,3,56.0,10.38,5.892,153.03
2025-06-29,8.255,50.697,1,21.0,8.255,6.141,143.0
2025-07-06,0.0,0.0,0,0.0,,,
2025-07-13,0.0,0.0,0,0.0,,,
2025-07-20,25.21,151.724,3,41.0,11.468,6.018,160.583
2025-07-27,9.046,52.172,1,17.0,9.046,5.768,154.0
2025-08-03,0.0,0.0,0,0.0,,,
2025-08-10,34.016,208.121,3,200.0,13.245,6.118,159.192
2025-08-17,39.509,240.179,3,306.0,17.199,6.079,154.233
2025-08-24,28.242,171.37,2,222.0,18.641,6.068,153.717
2025-08-31,45.423,262.691,3,243.0,20.507,5.783,150.437
2025-09-07,50.563,302.386,3,249.0,25.01,5.98,152.77
2025-09-14,36.316,208.652,4,121.0,12.005,5.745,146.201
2025-09-21,44.058,243.165,3,212.0,19.312,5.519,165.729
2025-09-28,53.125,289.345,4,160.0,21.379,5.446,151.797


RUNS_TABLE_CSV:
start_time,distance_km,duration_min,pace_min_km,avg_heart_rate,max_heart_rate,avg_running_cadence,total_ascent,avg_temperature,file_name
2025-06-17 17:30:32,8.766,52.328,5.969,145.0,162,77.0,7.0,30.0,469812547229351945.fit
2025-06-20 19:54:51,10.38,58.944,5.679,153.0,180,78.0,9.0,30.0,469883609071779841.fit
2025-06-22 09:04:39,10.01,60.528,6.046,160.0,181,79.0,40.0,34.0,469919548552806426.fit
2025-06-24 18:10:06,8.255,50.697,6.141,143.0,166,77.0,21.0,30.0,469976702221582336.fit
2025-07-17 17:37:58,7.517,45.271,6.022,159.0,175,78.0,2.0,31.0,470507390528160345.fit
2025-07-19 16:50:49,11.468,69.15,6.03,156.0,174,78.0,23.0,28.0,470553401978028135.fit
2025-07-20 10:59:35,6.226,37.303,5.992,171.0,184,79.0,16.0,33.0,470570428568469606.fit
2025-07-22 18:38:30,9.046,52.172,5.768,154.0,184,79.0,17.0,26.0,470624625953374215.fit
2025-08-06 16:35:09,8.923,55.725,6.245,155.0,190,77.0,92.0,30.0,470970406524715611.fit
2025-08-08 18:14:29,11.847,70.966,5.99,165.0,192,78.0,90.0,31.0,471018655379915053.fit
2025-08-10 10:44:06,13.245,81.43,6.148,157.0,171,79.0,18.0,34.0,471057939300385271.fit
2025-08-12 18:06:32,9.332,56.11,6.013,155.0,183,79.0,89.0,33.0,471111041200193539.fit
2025-08-15 08:23:17,12.979,78.878,6.077,158.0,186,78.0,95.0,32.0,471171590575390824.fit
2025-08-17 08:26:09,17.199,105.192,6.116,151.0,178,78.0,122.0,31.0,471218456721653762.fit
2025-08-23 11:06:51,9.601,58.837,6.128,157.0,184,80.0,100.0,28.0,471359451371176238.fit
2025-08-24 08:49:19,18.641,112.533,6.037,152.0,181,80.0,122.0,27.0,471381297990762599.fit
2025-08-26 16:32:49,10.243,58.804,5.741,154.0,197,79.0,64.0,28.0,471434278291406949.fit
2025-08-28 16:11:42,14.674,81.856,5.578,153.0,177,80.0,138.0,21.0,471480702861344873.fit
2025-08-31 08:11:06,20.507,122.031,5.951,147.0,167,81.0,41.0,29.0,471543189541519768.fit
2025-09-02 10:11:06,10.003,60.102,6.009,147.0,165,81.0,54.0,28.0,471590635239932307.fit
